"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"7195",8.28351187212383e-76,-0.39903501336078,0.024,0.279,7.47835451815339e-72
"3520",1.11734359671331e-75,-0.531487985615471,0.905,0.913,1.00873779911278e-71
"5548",1.31090010279725e-75,-0.520203488268411,0.825,0.834,1.18348061280536e-71
"74",1.48188382336418e-75,0.511182998753604,0.699,0.294,1.33784471573318e-71
"7402",1.96849066182438e-75,0.335801072508703,0.297,0.01,1.77715336949505e-71
"5090",2.31191623985566e-75,0.578937568750099,0.927,0.664,2.08719798134169e-71
"688",2.44632381453217e-75,-0.514934091692024,0.145,0.448,2.20854113975964e-71
"4426",2.48639068587817e-75,0.466199528481708,0.993,0.906,2.24471351121081e-71
"966",2.74326313168806e-75,0.444138411168008,0.484,0.107,2.47661795528799e-71
"1842",3.11585868453606e-75,0.644176043601212,0.734,0.336,2.81299722039916e-71
"1666",3.33633138647443e-75,-0.5341827727632,0.112,0.417,3.01203997570911e-71
"8891",4.12893744773261e-75,-0.627012067696279,0.445,0.657,3.727604727813e-71
"8892",4.48080423059961e-75,-0.568729346363055,0.073,0.372,4.04527005938533e-71
"3795",4.84909319097823e-75,-0.542057644408061,0.114,0.423,4.37776133281514e-71
"6510",5.16437652404811e-75,0.463787221702405,0.99,0.858,4.66239912591063e-71
"4663",5.25449283439396e-75,-0.619501794405944,0.926,0.947,4.74375613089086e-71
"7584",5.56412964820681e-75,-0.748152110155927,0.138,0.452,5.0232962464011e-71
"4840",5.93733985347362e-75,-0.386918932942814,0.03,0.289,5.36023041971598e-71
"8068",6.45023291211524e-75,-0.585131407173836,0.228,0.508,5.82327027305764e-71
"7412",6.73251072645193e-75,0.556072748661185,0.598,0.243,6.0781106838408e-71
"3044",7.19677146384186e-75,-0.606538541503492,0.234,0.513,6.49724527755643e-71
"2910",7.62625092872015e-75,0.547142831656807,0.748,0.353,6.88497933844855e-71
"64",9.35338340421922e-75,0.48246077504936,0.531,0.145,8.44423453732912e-71
"4860",1.14151143753049e-74,-0.388676462064491,0.009,0.236,1.03055652580252e-70
"4270",1.48008948427548e-74,-0.573667787524716,0.054,0.333,1.3362247864039e-70
"6181",1.55383009900236e-74,0.441941387863594,0.534,0.145,1.40279781337933e-70
"5105",1.57367019295242e-74,-0.577280324874335,0.211,0.493,1.42070945019744e-70
"6085",1.84914644150528e-74,-0.542290202608443,0.231,0.532,1.66940940739096e-70
"2240",2.17109095692426e-74,-0.512853861076713,0.146,0.44,1.96006091591122e-70
"2575",2.55918974865491e-74,0.595260507400402,0.324,0.024,2.31043650508566e-70
